Sample,Glucan  ,Xylan,Lignin ,Extractive,Glu,Xyl
CS MP ,34.53,22.89,14.13,9.38,30.49820707503477,22.552940463867074
SWG gen,36.54,24.02,19.87,6.86,27.95137999681875,24.395194677625145
SWG stored,37.91,24.16,20.94,5.2,36.61604998193865,25.325566903781514
CS stored,33.1,24.73,15.26,7.55,38.70295832954295,28.441721563935637
Grass ID,15.62,7.2,12.03,35.45,19.016070243192758,7.009673393524103
Grass AR,25.06,18.94,16.3,17.18,26.431316125797665,18.4471727469881
MSW,47.99,10.39,11.4,4.85,33.479232776600284,7.020745156930757
2014 Blending CS,35.71,20.88,16.1,10.94,35.242735737033925,21.6798696996978
Miscanthus,40.79,22.01,20.41,5.22,36.5743662963794,19.725258124775042
Sorghum ,34.82,20.44,16.01,14.28,30.352293216880895,20.211599987138964
Wheat Straw,32.24,16.95,16.27,14.57,30.08368105027812,16.18143860922921
CS SP,35.45,22.34,16.37,10.47,35.55820608714904,23.164775268012214
SWG ref,33.21,21.65,16.24,14.33,31.76972218934301,21.174139185846183
CS/SWG 80-20,34.3,20.7,16.9,10.68,34.21033396148058,22.721988579883718
CS/SWG 70-30,33.9,20.55,17.73,10.86,34.931505706378346,21.65386939804073
CS/SWG 60-40,33.8,20.5,17.3,11.18,33.85618227488866,22.166899498107753
CS/SWG 50-50,35.7,22.7,16.9,11.16,33.99820579433505,22.749896483166463
MP CS/SWG 80-20,33.46,20.14,15.27,9.71,33.88711869111523,21.998444816010785
MP CS/SWG 70-30,33.92,20.82,15.9,9.51,35.09147778800486,22.59042808241219
CS/SWG/GRASS 60/35/5,34.2,21.8,16.2,12.2,33.22760118408949,20.981256727061634
CS/SWG/MSW 60/35/5,34.2,19.5,16.8,9.84,34.94130056309916,21.270010023540245
CS/SWG/SORG 60/35/5,34.3,20.3,17,9.98,33.86338537278957,21.481617165152432
CS/SWG/GRASS AR 60/35/5,33.85,22.32,16.29,11.64,33.22829779950634,22.2826669438529
CS/SWG/WHEAT STRAW 60/35/5,32.8,19.1,17,10.33,33.40645444367436,21.734689422567428
CS/SWG/MISCANTHUS 60/35/5,34.9,21.1,17,9.68,33.79145112437467,22.38215865960469
